,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Monroe County,Iowa,14%,14%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,83%,83%,64%,,"$60,609","$60,996","$49,715"
Montgomery County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,85%,85%,90%,,"$53,083","$54,081","$29,060"
Muscatine County,Iowa,18%,17%,n/a**,,"$11,940","$11,849",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$186,$185,n/a**,,2%,2%,n/a**,,21%,,81%,80%,90%,,"$65,333","$67,722","$51,074"
O'Brien County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,81%,81%,87%,,"$70,596","$71,672","$40,166"
Osceola County,Iowa,21%,21%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,8%,,83%,83%,81%,,"$59,535","$59,604","$58,192"
Page County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,8%,,80%,80%,85%,,"$56,810","$57,200","$45,799"
Palo Alto County,Iowa,22%,22%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,80%,80%,80%,,"$60,222","$60,840","$42,079"
Plymouth County,Iowa,22%,23%,n/a**,,"$15,253","$15,253",n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,$178,$178,n/a**,,2%,2%,n/a**,,6%,,80%,79%,92%,,"$68,939","$69,807","$46,380"
Pocahontas County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,83%,82%,90%,,"$58,392","$59,486","$31,496"
Polk County,Iowa,22%,22%,20%,,"$17,487","$18,000",n/a*,,12%,10%,46%,,"$7,565","$7,801",n/a*,,$191,$195,n/a*,,3%,2%,9%,,21%,,65%,62%,80%,,"$78,460","$83,720","$50,633"
Pottawattamie County,Iowa,18%,19%,n/a**,,"$14,622","$14,622",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$147,$147,n/a**,,2%,2%,n/a**,,11%,,79%,78%,90%,,"$66,116","$67,126","$54,291"
Poweshiek County,Iowa,20%,20%,n/a**,,"$18,813","$18,813",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,7%,,75%,75%,73%,,"$64,118","$64,729","$43,944"
Ringgold County,Iowa,12%,12%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,79%,79%,77%,,"$64,398","$65,057","$20,480"
Sac County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,80%,80%,92%,,"$61,177","$61,525","$43,485"
Scott County,Iowa,22%,22%,n/a**,,"$15,828","$15,616",n/a**,,16%,16%,n/a**,,"$5,380","$5,570",n/a**,,$164,$164,n/a**,,3%,3%,n/a**,,18%,,69%,69%,74%,,"$73,797","$76,426","$58,530"
Shelby County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,79%,79%,69%,,"$64,231","$64,367","$59,038"
Sioux County,Iowa,20%,20%,n/a**,,"$13,249","$13,249",n/a**,,4%,4%,n/a**,,n/a*,n/a*,n/a**,,$128,$128,n/a**,,1%,1%,n/a**,,12%,,74%,73%,95%,,"$74,228","$77,063","$41,570"
Story County,Iowa,24%,24%,n/a**,,"$18,639","$19,923",n/a**,,8%,9%,n/a**,,n/a*,n/a*,n/a**,,$198,$200,n/a**,,2%,2%,n/a**,,14%,,48%,49%,42%,,"$69,284","$72,954","$42,843"
Tama County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,19%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,17%,,84%,83%,93%,,"$66,434","$67,868","$54,210"
Taylor County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,9%,,85%,85%,96%,,"$54,440","$56,003","$33,674"
Union County,Iowa,15%,15%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,85%,85%,85%,,"$55,888","$56,123","$45,193"
Van Buren County,Iowa,20%,20%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,87%,87%,88%,,"$57,420","$57,942","$18,515"
Wapello County,Iowa,18%,18%,n/a**,,"$13,914","$13,914",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,$114,$114,n/a**,,3%,3%,n/a**,,14%,,83%,82%,92%,,"$54,822","$55,869","$44,313"
Warren County,Iowa,21%,21%,n/a**,,"$15,315","$15,293",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$200,$200,n/a**,,2%,2%,n/a**,,5%,,72%,72%,76%,,"$76,998","$77,198","$69,699"
Washington County,Iowa,20%,20%,n/a**,,"$15,300","$15,300",n/a**,,2%,2%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,8%,,79%,78%,89%,,"$67,458","$68,761","$47,142"
Wayne County,Iowa,17%,17%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,86%,86%,92%,,"$55,655","$55,787","$42,120"
Webster County,Iowa,23%,23%,n/a**,,"$13,181","$13,181",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$167,$167,n/a**,,3%,3%,n/a**,,11%,,81%,81%,82%,,"$56,582","$57,499","$44,308"
Winnebago County,Iowa,17%,17%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,7%,,79%,79%,87%,,"$58,273","$58,382","$56,030"
Winneshiek County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,72%,73%,50%,,"$65,124","$63,960","$107,779"
Woodbury County,Iowa,20%,22%,n/a**,,"$13,151","$12,714",n/a**,,10%,9%,n/a**,,n/a*,n/a*,n/a**,,$157,$155,n/a**,,2%,2%,n/a**,,24%,,78%,75%,93%,,"$63,767","$68,149","$44,926"
Worth County,Iowa,22%,22%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,5%,,85%,85%,88%,,"$56,950","$58,479","$28,648"
Wright County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,12%,,83%,82%,94%,,"$60,786","$61,426","$51,227"
Allen County,Kansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,82%,82%,79%,,"$49,265","$50,222","$32,717"
Anderson County,Kansas,16%,16%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,84%,84%,81%,,"$50,761","$50,438","$68,731"
Atchison County,Kansas,20%,20%,n/a**,,"$20,240","$20,240",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,12%,,80%,80%,80%,,"$55,246","$54,972","$58,909"
Barber County,Kansas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,7%,,80%,80%,83%,,"$65,805","$65,862","$64,646"
Barton County,Kansas,12%,12%,n/a**,,"$13,000","$13,000",n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,17%,,83%,82%,94%,,"$58,223","$61,476","$33,295"
Bourbon County,Kansas,17%,17%,n/a**,,n/a*,n/a*,n/a**,,37%,37%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,9%,,78%,77%,94%,,"$51,199","$52,838","$28,500"
Brown County,Kansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,16%,,80%,79%,86%,,"$53,299","$55,580","$39,020"
Butler County,Kansas,17%,17%,n/a**,,"$18,506","$18,506",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$164,$164,n/a**,,2%,2%,n/a**,,10%,,72%,71%,75%,,"$74,670","$73,981","$84,433"
Chase County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,8%,,76%,75%,81%,,"$53,550","$54,229","$37,854"
Chautauqua County,Kansas,5%,5%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,13%,,82%,82%,90%,,"$53,120","$54,422","$41,906"
Cherokee County,Kansas,15%,15%,n/a**,,"$11,506","$11,506",n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,11%,,83%,83%,83%,,"$50,886","$50,403","$56,010"
Cheyenne County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,9%,,78%,78%,75%,,"$54,941","$56,300","$35,876"
Clark County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,19%,,70%,71%,68%,,"$56,756","$58,878","$42,485"
Clay County,Kansas,18%,18%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,76%,77%,63%,,"$67,013","$67,320","$57,892"
Cloud County,Kansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,83%,82%,87%,,"$49,746","$50,150","$40,743"
Coffey County,Kansas,18%,18%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,79%,79%,83%,,"$69,310","$69,975","$56,639"
Comanche County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,,76%,76%,83%,,"$55,472","$55,624","$52,306"
Cowley County,Kansas,15%,15%,n/a**,,"$16,599","$16,599",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,$192,$192,n/a**,,3%,3%,n/a**,,19%,,81%,80%,87%,,"$56,991","$57,593","$52,322"
Crawford County,Kansas,20%,20%,n/a**,,"$15,185","$15,185",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$188,$188,n/a**,,3%,3%,n/a**,,12%,,71%,71%,78%,,"$50,201","$51,233","$39,561"
Decatur County,Kansas,7%,7%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,73%,73%,80%,,"$59,421","$60,237","$34,645"
Dickinson County,Kansas,18%,18%,n/a**,,"$10,841","$10,841",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,8%,,80%,80%,82%,,"$59,878","$59,978","$58,297"
Doniphan County,Kansas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,10%,,83%,83%,92%,,"$59,866","$61,539","$34,997"
Douglas County,Kansas,24%,24%,n/a**,,"$19,717","$19,717",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$201,$201,n/a**,,3%,3%,n/a**,,20%,,53%,50%,67%,,"$76,075","$80,844","$51,293"
Edwards County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,22%,,81%,79%,95%,,"$61,363","$63,921","$46,398"
Elk County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,8%,,83%,82%,94%,,"$45,632","$45,124","$53,300"
Ellis County,Kansas,21%,21%,n/a**,,"$18,037","$18,037",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$133,$133,n/a**,,2%,2%,n/a**,,10%,,68%,67%,76%,,"$62,029","$64,326","$27,998"
Ellsworth County,Kansas,19%,19%,n/a**,,n/a*,n/a*,n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,13%,,79%,78%,86%,,"$59,335","$59,862","$45,690"
Finney County,Kansas,12%,12%,n/a**,,"$12,547",n/a*,n/a**,,16%,36%,n/a**,,n/a*,n/a*,n/a**,,$134,n/a*,n/a**,,2%,4%,n/a**,,56%,,81%,72%,92%,,"$64,659","$74,293","$52,314"
Ford County,Kansas,9%,13%,8%,,n/a*,n/a*,n/a*,,11%,11%,11%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,1%,,58%,,82%,72%,93%,,"$61,451","$72,381","$48,148"
Franklin County,Kansas,17%,17%,n/a**,,"$9,776","$9,776",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,79%,78%,87%,,"$63,209","$64,620","$40,744"
Geary County,Kansas,17%,18%,n/a**,,"$13,745",n/a*,n/a**,,11%,16%,n/a**,,n/a*,n/a*,n/a**,,$108,n/a*,n/a**,,2%,3%,n/a**,,41%,,80%,78%,83%,,"$57,586","$62,014","$50,048"
Gove County,Kansas,6%,6%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,79%,79%,71%,,"$58,914","$59,149","$50,409"
Graham County,Kansas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,11%,,74%,73%,79%,,"$58,796","$60,897","$34,049"
Grant County,Kansas,8%,n/a**,n/a**,,n/a*,n/a**,n/a**,,0%,n/a**,n/a**,,n/a*,n/a**,n/a**,,n/a*,n/a**,n/a**,,0%,n/a**,n/a**,,47%,,82%,74%,94%,,"$73,238","$78,278","$65,611"
Gray County,Kansas,4%,4%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,15%,,81%,80%,90%,,"$71,799","$74,288","$52,264"
Greeley County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,26%,,74%,73%,85%,,"$63,503","$65,903","$48,712"
Greenwood County,Kansas,4%,3%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,8%,,84%,84%,82%,,"$52,607","$53,111","$41,900"
Hamilton County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,35%,,87%,83%,95%,,"$57,210","$65,126","$38,164"
Harper County,Kansas,10%,10%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,10%,,80%,79%,92%,,"$58,415","$60,026","$39,284"
Harvey County,Kansas,19%,19%,n/a**,,"$16,498","$16,498",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$173,$173,n/a**,,2%,2%,n/a**,,16%,,74%,72%,85%,,"$61,691","$63,907","$45,759"
Haskell County,Kansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,31%,,82%,78%,95%,,"$70,265","$75,163","$53,333"
Hodgeman County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,11%,,76%,78%,57%,,"$73,669","$74,296","$62,743"
Jackson County,Kansas,18%,18%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,15%,,81%,81%,83%,,"$63,210","$65,264","$48,019"
Jefferson County,Kansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,81%,80%,90%,,"$65,317","$65,192","$68,495"
Jewell County,Kansas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,76%,,"$49,202","$49,683","$26,717"
Johnson County,Kansas,19%,19%,n/a**,,"$18,396","$18,396",n/a**,,8%,8%,n/a**,,"$8,024","$7,916",n/a**,,$190,$190,n/a**,,2%,2%,n/a**,,20%,,45%,42%,56%,,"$110,111","$115,843","$79,461"
Kearny County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,34%,,83%,78%,95%,,"$67,081","$72,275","$52,968"
Kingman County,Kansas,17%,17%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,79%,80%,65%,,"$62,177","$62,619","$47,684"
Kiowa County,Kansas,20%,20%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,10%,,73%,73%,71%,,"$56,777","$57,399","$47,194"
Labette County,Kansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,15%,,81%,80%,83%,,"$51,659","$53,652","$36,573"
Lane County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,8%,,79%,79%,71%,,"$65,181","$65,181","$65,189"
Leavenworth County,Kansas,17%,17%,n/a**,,"$14,458","$14,458",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$127,$127,n/a**,,3%,3%,n/a**,,21%,,72%,73%,66%,,"$75,634","$78,669","$59,373"
Lincoln County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,,80%,79%,92%,,"$57,724","$58,052","$45,162"
Linn County,Kansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,85%,85%,91%,,"$60,744","$60,867","$58,432"
Logan County,Kansas,17%,17%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,82%,81%,98%,,"$64,363","$65,790","$46,082"
Lyon County,Kansas,18%,18%,n/a**,,"$18,252","$18,252",n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,$137,$137,n/a**,,1%,1%,n/a**,,28%,,74%,71%,87%,,"$51,927","$54,509","$41,509"
McPherson County,Kansas,13%,14%,n/a**,,"$14,984","$14,984",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$122,$122,n/a**,,2%,2%,n/a**,,8%,,73%,73%,74%,,"$69,689","$70,440","$57,910"
Marion County,Kansas,19%,19%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,77%,77%,86%,,"$57,945","$58,825","$39,405"
Marshall County,Kansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,83%,83%,97%,,"$60,830","$61,212","$44,534"
Meade County,Kansas,11%,11%,n/a**,,n/a*,n/a*,n/a**,,38%,38%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,17%,,78%,75%,91%,,"$60,051","$61,466","$49,946"
Miami County,Kansas,17%,17%,n/a**,,"$16,969","$16,969",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$175,$175,n/a**,,2%,2%,n/a**,,7%,,77%,77%,80%,,"$75,236","$76,093","$57,284"
Mitchell County,Kansas,16%,16%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,74%,74%,99%,,"$63,422","$64,448","$16,872"
Montgomery County,Kansas,11%,11%,n/a**,,"$12,662","$12,662",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,20%,,83%,82%,87%,,"$50,834","$52,160","$42,966"
Morris County,Kansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,7%,,82%,82%,97%,,"$55,681","$56,739","$37,460"
Morton County,Kansas,19%,19%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,26%,,86%,85%,91%,,"$55,040","$57,864","$43,136"
Nemaha County,Kansas,18%,18%,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,77%,77%,89%,,"$62,353","$62,641","$51,741"
Neosho County,Kansas,16%,16%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,81%,81%,86%,,"$54,417","$55,124","$45,240"
Ness County,Kansas,15%,15%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,11%,,80%,79%,100%,,"$66,223","$67,778","$35,688"
Norton County,Kansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,10%,,83%,81%,99%,,"$58,810","$59,036","$44,019"
Osage County,Kansas,20%,20%,n/a**,,"$12,879","$12,879",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,81%,80%,94%,,"$59,084","$59,751","$42,657"
Osborne County,Kansas,17%,17%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,79%,80%,76%,,"$56,899","$56,110","$104,110"
Ottawa County,Kansas,9%,9%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,79%,78%,83%,,"$63,301","$63,700","$48,388"
Pawnee County,Kansas,12%,12%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,15%,,78%,76%,95%,,"$59,799","$60,942","$40,548"
Phillips County,Kansas,14%,14%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,5%,,78%,78%,92%,,"$57,007","$57,219","$44,730"
Pottawatomie County,Kansas,20%,20%,n/a**,,"$15,735","$15,735",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,10%,,68%,67%,73%,,"$70,728","$71,766","$55,870"
Pratt County,Kansas,13%,13%,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,10%,,74%,73%,92%,,"$66,367","$68,483","$43,618"
Rawlins County,Kansas,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,7%,,75%,75%,83%,,"$57,563","$57,975","$46,630"
